"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2021066792","4","4","","","","N","02","35","ESHLEMAN MILL RD","4","","36"
"2021005409","3","3","0222","0730","512","N","3","35","OREGON PK","2","3","36"
"2021040433","4","4","4034","0010","0","E","2","35","BEATTYS TOLL GATE RD","2","3","36"
"2021118564","3","3","0300","0360","264","E","3","55","","2","1","36"
"2021024121","4","3","","","","W","02","25","SCHOOL HOUSE RD","4","","36"
"2021091310","3","4","","","","S","02","25","MALORY ST","4","","36"
"2021017387","5","7","","","","E","02","40","ROTHSVILLE RD","4","","36"
"2021082186","4","4","0501","0011","2896","S","2","40","LITITZ PK","2","3","36"
"2021028613","4","4","1011","0040","0","N","2","45","NEW HOLLAND RD","2","3","36"
"2021067840","3","3","0372","0210","1100","W","2","35","STATE ST","2","3","36"
"2021110262","3","3","0999","0070","741","W","2","50","BLUE ROCK RD","2","3","36"
"2021053418","3","3","0222","0330","779","N","2","55","BEAVER VALLEY PK","2","3","36"
"2021082764","3","3","","","","E","02","35","QUARRY RD","4","","36"
"2021019128","4","4","0023","0303","215","W","2","40","NEW HOLLAND PK","2","3","36"
"2021082185","4","4","","","","E","02","25","CREEK RD","4","","36"
"2021027793","3","4","","","","N","02","25","MULBERRY ST","4","","36"
"2021086287","3","3","0222","0561","1301","S","2","35","PRINCE ST","2","3","36"
"2021014739","3","3","","","","S","02","55","ROSEDALE RD","4","","36"
"2021065317","3","3","0030","0390","2509","E","3","40","LINCOLN HW","2","3","36"
"2022003255","4","5","","","","U","02","35","PFAUTZ HILL RD","4","","36"
"2021096378","3","3","0222","0840","116","N","2","65","","2","1","36"
"2021031330","3","3","0030","0460","1815","E","3","35","LINCOLN HW","2","3","36"
"2021036733","3","3","7076","0130","2640","W","4","65","EAST/WEST PK","5","1","36"
"2021031317","4","4","2035","0010","0","E","2","40","BELMONT RD","2","3","36"
"2021080408","3","3","0462","0260","0","E","2","25","KING ST","2","3","36"
"2021028697","3","3","0030","0280","2221","E","3","55","LINCOLN HW","2","1","36"
"2021038101","3","3","4011","0130","0","N","2","40","FRUITVILLE PK","2","3","36"
"2021050720","3","3","0030","0530","2215","W","3","45","LINCOLN HW","2","3","36"
"2021105634","3","3","0222","0500","119","N","2","45","BEAVER VALLEY PK","2","3","36"
"2021065323","3","3","0501","0150","2186","N","3","45","FURNACE HILLS PK","2","3","36"
"2021073779","3","3","0072","0100","0","W","3","35","MANHEIM PK","2","3","36"
"2021018310","3","3","0741","0070","376","S","3","45","MCGOVERNVILLE RD","2","3","36"
"2021092543","3","3","0222","0870","1487","N","2","65","SR 0222 SH","2","1","36"
"2021124364","4","3","","","","N","02","25","FRANKLIN ST","4","","36"
"2021113713","3","3","4002","0120","0","W","2","40","DONEGAL SPRINGS RD","2","3","36"
"2021100186","3","3","3028","0060","0","W","2","45","LAMPETER RD","2","3","36"
"2021018364","4","3","","","","W","02","25","WALNUT ST","4","","36"
"2021099337","4","5","","","","N","02","","SYLVAN RETREAT RD","4","","36"
"2021009935","3","3","","","","S","02","25","WEST END AV","4","","36"
"2021098357","3","3","0462","0290","838","E","2","35","KING ST","2","3","36"
"2021042094","3","3","0241","0050","0","E","2","45","BAINBRIDGE RD","2","3","36"
"2021105559","3","3","0999","0050","148","W","2","50","PENN ST","2","3","36"
"2021029093","4","5","","","","N","02","","WESTERN AV","4","","36"
"2021048175","3","4","","","","E","02","15","RED ROSE COMMONS LT","7","","36"
"2021103906","4","3","","","","E","02","25","PARK ST","4","","36"
"2021066660","3","3","7076","0190","4224","W","4","65","MAINLINE TU","5","1","36"
"2021077290","3","3","4040","0120","2349","B","2","35","LINCOLN AV","2","3","36"
"2021074078","3","4","","","","E","02","","HERNLEY RD","4","","36"
"2021103849","3","3","0743","0144","1850","S","2","45","HERSHEY RD","2","3","36"
"2021062783","3","3","0222","0640","0","N","2","25","LIME ST","2","3","36"
"2021102631","3","3","7076","0270","0","W","4","65","EAST/WEST PK","5","1","36"
"2021065480","3","3","3014","0030","175","S","2","45","BUCK HEIGHTS RD","2","3","36"
"2021092609","4","4","4011","0021","1787","S","2","40","FRUITVILLE PK","2","3","36"
