"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2021082094,"06","2","85 SIGMAN RD.","","PEQUEA","PA","17565","B & D HARKINS TRANSPORTATION INC","7172842844","080000","","","","","N","","","","","","N","A-0610843","2","01660909","08"
2021086312,"02","1","67 HOOVER AVE","","DUBOIS","PA","15801","RMP TRANSPORTATION CO INC","8143759700","026000","","","","","N","","","","","","N","","1","01731565","03"
2021100295,"02","6","13 E MAIN ST","","MOUNTVILLE","PA","17554","PATRIOT TOWING","7178241698","025500","","","","","N","","","","","","","","2","","99"
2021125719,"05","1","5322 SOUTH PARK DR","","BROKEN BOW","OK","74728","TYSON SALES AND DISTRIBUTION","4792904000","080000","","","","","N","","","","","","","","2","00003327","08"
2021004519,"03","7","1251 E EARL ROAD","","EAST EARL","PA","17519","EAGLE DISPOSAL","7173559560","058400","","","","","N","","","","","","N","","2","01413530","09"
2021025639,"05","1","3329 FROST RD P.O. BOX 847","","MANTUA","OH","44255","BROADWAY INTERMODAL LLC","3302748499","080000","","","","","N","","","","","","N","","1","00443681","08"
2021055281,"99","9","STATION MANAGER 1851 COLONIAL","","LANCASTER","PA","17601","FEDERAL CORPORATION","9999999999","012000","","","","","N","","","","","","U","","1","","99"
2021088032,"03","9","113 SKYVIEW LN","","LITITZ","PA","17543","TRAVIS C STEFFY TRUCKING LLC","7179894672","999999","","","","","N","","","","","","N","","2","01758604","08"
2021094988,"03","99","2647 EDGEWATER AVE","","NEW SMYRNA BEACH","FL","32168","VOJINOVIC, DRAGAN","6207572577","080000","","","","","N","","","","","","","0","1","03475787","08"
2021099649,"03","0","1299 LAVELLE DR","","XENIA","OH","45385","HOME RUN INC","8005439198","080000","","","","","N","","","","","","N","","1","00081391","07"
