"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2016104336,"05","3","550 S HIGH STREET","","SELINSGROVE","PA","17870","LB WATER SERVICE INC","5703741157","080000","","","","","N","","","","","","N","","1","00295978","08"
2016105146,"03","9","PO BOX 67676","","HARRISBURG","PA","17106","PA TURNPIKE COMMISSION","8009320586","058400","","","","","N","","","","","","N","","2","99999999","98"
2016106381,"05","9","4555 HOLLINS FERRY ROAD","","BALTIMORE","MD","21227","COWAN EQUIPMENT LEASING LLC","8147934293","080000","","","","","N","","","","","","N","","1","00548880","08"
2016108862,"99","9","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","U","","1","","08"
2016116565,"02","1","1131 E 99TH ST","","BROOKLYN","NY","11236","ONEIL STREETE","3472639457","080000","","","","","N","","","","","","N","","1","02030618","07"
2016116565,"02","1","POB 5328","","MISSOULA","MT","59806","WATKINS AND SHEPHARD TRUCKING","4065326121","080000","","","","","N","","","","","","N","","2","00230991","08"
2016127780,"03","7","85 BRICKYARD RD","PO BOX 3066","YORK","PA","17402","PENN WASTE INC","7177674456","058400","","","","","","","","","","","N","","1","02070588","04"
2016131301,"99","8","102 MARTIC HEIGHTS DRIV","","HOLTWOOD","PA","17532","ESCHBACH BUS COMPANY","7172844162","999999","","","","","N","","","","","","N","","2","","11"
2016134860,"02","3","258 LUMBER ST","","MOUNT JOY","PA","17552","PREVAIL TOWING LLC","7173333204","026000","","","","","N","","","","","","N","","1","02490022","03"
2016138986,"05","9","1942 PAPPYS LANE","","ORWIGSBURG","PA","179612412","J MARLIN ERNST  AND SONS INC","8002963768","075000","","","","","N","","","","","","N","","2","00038109","08"
